APK,Permission,RiskLevel
telegram.messenger.apk,com.oppo.launcher.permission.WRITE_SETTINGS,Unknown
telegram.messenger.apk,android.permission.WAKE_LOCK,Unknown
telegram.messenger.apk,android.permission.INTERNET,Low
telegram.messenger.apk,android.permission.READ_PHONE_NUMBERS,Unknown
telegram.messenger.apk,android.permission.POST_NOTIFICATIONS,Unknown
telegram.messenger.apk,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,Unknown
telegram.messenger.apk,com.google.android.c2dm.permission.RECEIVE,Unknown
telegram.messenger.apk,android.permission.ACCESS_MEDIA_LOCATION,Unknown
telegram.messenger.apk,android.permission.WRITE_SYNC_SETTINGS,Unknown
telegram.messenger.apk,com.htc.launcher.permission.UPDATE_SHORTCUT,Unknown
telegram.messenger.apk,android.permission.USE_FULL_SCREEN_INTENT,Unknown
telegram.messenger.apk,android.permission.ACCESS_NETWORK_STATE,Unknown
telegram.messenger.apk,android.permission.READ_PHONE_STATE,Unknown
telegram.messenger.apk,android.permission.READ_PROFILE,Unknown
telegram.messenger.apk,com.android.launcher.permission.INSTALL_SHORTCUT,Unknown
telegram.messenger.apk,android.permission.ACCESS_BACKGROUND_LOCATION,Unknown
telegram.messenger.apk,org.telegram.messenger.beta.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,Unknown
telegram.messenger.apk,android.permission.BLUETOOTH,Low
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE,Unknown
telegram.messenger.apk,com.sec.android.provider.badge.permission.READ,Unknown
telegram.messenger.apk,com.google.android.providers.gsf.permission.READ_GSERVICES,Unknown
telegram.messenger.apk,com.huawei.android.launcher.permission.WRITE_SETTINGS,Unknown
telegram.messenger.apk,android.permission.READ_MEDIA_AUDIO,Unknown
telegram.messenger.apk,android.permission.READ_SYNC_SETTINGS,Unknown
telegram.messenger.apk,com.anddoes.launcher.permission.UPDATE_COUNT,Unknown
telegram.messenger.apk,android.permission.READ_CONTACTS,High
telegram.messenger.apk,android.permission.BLUETOOTH_CONNECT,Unknown
telegram.messenger.apk,android.permission.WRITE_EXTERNAL_STORAGE,Medium
telegram.messenger.apk,com.android.launcher.permission.UNINSTALL_SHORTCUT,Unknown
telegram.messenger.apk,android.permission.SYSTEM_ALERT_WINDOW,Unknown
telegram.messenger.apk,com.sonyericsson.home.permission.BROADCAST_BADGE,Unknown
telegram.messenger.apk,android.permission.MODIFY_AUDIO_SETTINGS,Unknown
telegram.messenger.apk,org.telegram.messenger.beta.permission.MAPS_RECEIVE,Unknown
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,Unknown
telegram.messenger.apk,android.permission.READ_APP_BADGE,Unknown
telegram.messenger.apk,android.permission.REQUEST_INSTALL_PACKAGES,Unknown
telegram.messenger.apk,android.permission.RECORD_AUDIO,High
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE_DATA_SYNC,Unknown
telegram.messenger.apk,android.permission.USE_FINGERPRINT,Unknown
telegram.messenger.apk,android.permission.READ_EXTERNAL_STORAGE,Medium
telegram.messenger.apk,com.huawei.android.launcher.permission.CHANGE_BADGE,Unknown
telegram.messenger.apk,android.permission.GET_ACCOUNTS,Unknown
telegram.messenger.apk,android.permission.ACCESS_WIFI_STATE,Unknown
telegram.messenger.apk,android.permission.WRITE_CONTACTS,High
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,Unknown
telegram.messenger.apk,me.everything.badger.permission.BADGE_COUNT_READ,Unknown
telegram.messenger.apk,android.permission.ACCESS_COARSE_LOCATION,High
telegram.messenger.apk,android.permission.RECEIVE_BOOT_COMPLETED,Unknown
telegram.messenger.apk,android.permission.VIBRATE,Low
telegram.messenger.apk,com.htc.launcher.permission.READ_SETTINGS,Unknown
telegram.messenger.apk,android.permission.READ_CLIPBOARD,Unknown
telegram.messenger.apk,me.everything.badger.permission.BADGE_COUNT_WRITE,Unknown
telegram.messenger.apk,android.permission.USE_BIOMETRIC,Unknown
telegram.messenger.apk,android.permission.SCHEDULE_EXACT_ALARM,Unknown
telegram.messenger.apk,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,Unknown
telegram.messenger.apk,com.oppo.launcher.permission.READ_SETTINGS,Unknown
telegram.messenger.apk,com.android.vending.BILLING,Unknown
telegram.messenger.apk,android.permission.MANAGE_ACCOUNTS,Unknown
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE_CAMERA,Unknown
telegram.messenger.apk,android.permission.READ_MEDIA_IMAGES,Unknown
telegram.messenger.apk,android.permission.READ_MEDIA_VIDEO,Unknown
telegram.messenger.apk,android.permission.AUTHENTICATE_ACCOUNTS,Unknown
telegram.messenger.apk,android.permission.INSTALL_SHORTCUT,Unknown
telegram.messenger.apk,android.permission.CAMERA,Medium
telegram.messenger.apk,com.majeur.launcher.permission.UPDATE_BADGE,Unknown
telegram.messenger.apk,android.permission.FOREGROUND_SERVICE_MICROPHONE,Unknown
telegram.messenger.apk,com.huawei.android.launcher.permission.READ_SETTINGS,Unknown
